PUB_ID_C,SKU,ISBN,TITLE,CUSTOMER_NAME,A_STATUS,BOOKTYPEID,CARTON_QTY,WEIGHT,BOOKGROUP,BOOKTYPEDESC,US_INGRAM_GAP_LIST_PRICE
6010036,1501100521,9.7815E+12,Power of a Positive Wife Devotional & Journal: 52 Monday Morning Motivations,Simon & Schuster,production,320,30,0.454,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501101900,9.7815E+12,Affair with Mr. Kennedy,Simon & Schuster,production,320,16,0.793,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501101919,9.7815E+12,Altar of Bones,Simon & Schuster,production,320,10,1.31,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501101927,9.7815E+12,Amazon Queen,Simon & Schuster,production,320,16,0.762,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501101935,9.7815E+12,The Better Part of Darkness,Simon & Schuster,production,320,16,0.819,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501101943,9.7815E+12,Black Dust Mambo,Simon & Schuster,production,320,16,0.759,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501101951,9.7815E+12,Bordeaux Betrayal: A Wine Country Mystery,Simon & Schuster,production,320,20,0.671,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,150110196X,9.7815E+12,Bound by Your Touch,Simon & Schuster,production,320,18,0.732,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501101978,9.7815E+12,Chased by Moonlight,Simon & Schuster,production,320,16,0.793,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501101986,9.7815E+12,Courtesan's Scandal,Simon & Schuster,production,320,16,0.759,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501101994,9.7815E+12,Crown Jewel,Simon & Schuster,production,320,16,0.823,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501102001,9.7815E+12,Csi: Crime Scene Investigation: The Killing Jar,Simon & Schuster,production,320,18,0.702,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
